stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url
GERM, Germantown, , 40.0375000, -75.1716667, 1, 
WIST, Wister, , 40.0361111, -75.1611111, 1, 
CW, Chestnut Hill West, , 40.0763889, -75.2083333, 2, 
HIGH, Highland, , 40.0705556, -75.2111111, 2, 
STMR, St. Martins, , 40.0658333, -75.2044444, 2, 
ALLA, Allen Lane, , 40.0575000, -75.1947222, 2, 
CARP, Carpenter, , 40.0511111, -75.1913889, 2, 
UPSL, Upsal, , 40.0425000, -75.1900000, 2, 
TULP, Tulpehocken, , 40.0352778, -75.1869444, 2, 
CHEL, Chelten Avenue, , 40.0300000, -75.1808333, 1, 
QUEN, Queen Lane, , 40.0233333, -75.1780556, 1, 
NT, Norristown, , 40.1202778, -75.3475000, 3, 
MNST, Main Street, , 40.1172222, -75.3486111, 3, 
NTC, Norristown T.C., , 40.1127778, -75.3441667, 3, 
CONS, Conshohocken, , 40.0722222, -75.3086111, 3, 
SPGM, Spring Mill, , 40.0741667, -75.2861111, 3, 
MIQN, Miquon, , 40.0586111, -75.2663889, 2, 
IVYR, Ivy Ridge, , 40.0341667, -75.2355556, 2, 
MANY, Manayunk, , 40.0269444, -75.2250000, 2, 
WSHN, Wissahickon, , 40.0166667, -75.2102778, 2, 
EFLS, East Falls, , 40.0113889, -75.1919444, 1, 
ALGY, Allegheny, , 40.0036111, -75.1647222, 1, 
DOWN, Downingtown, , 40.0022222, -75.7102778, 5, 
WHIT, Whitford, , 40.0147222, -75.6380556, 5, 
EXTN, Exton, , 40.0191667, -75.6227778, 5, 
MALV, Malvern, , 40.0363889, -75.5155556, 5, 
PA, Paoli, , 40.0430556, -75.4827778, 4, 
DALF, Daylesford, , 40.0430556, -75.4605556, 4, 
BERW, Berwyn, , 40.0480556, -75.4422222, 4, 
DEVN, Devon, , 40.0472222, -75.4227778, 4, 
STFD, Strafford, , 40.0494444, -75.4030556, 3, 
WAYN, Wayne, , 40.0458333, -75.3866667, 3, 
STDA, St. Davids, , 40.0438889, -75.3725000, 3, 
RADN, Radnor, , 40.0447222, -75.3588889, 3, 
VILA, Villanova, , 40.0383333, -75.3416667, 3, 
ROSE, Rosemont, , 40.0277778, -75.3266667, 3, 
BM, Bryn Mawr, , 40.0219444, -75.3163889, 3, 
HAVE, Haverford, , 40.0138889, -75.2997222, 2, 
ARTC, Ardmore, , 40.0083333, -75.2902778, 2, 
WYNW, Wynnewood, , 40.0027778, -75.2725000, 2, 
NRST, Narberth, , 40.0047222, -75.2613889, 2, 
MERI, Merion, , 39.9986111, -75.2513889, 2, 
OVBK, Overbrook, , 39.9894444, -75.2494444, 2, 
30ST, 30th Street Station, , 39.9566667, -75.1816667, C, 
SS, Suburban Station, , 39.9538889, -75.1677778, C, 
EM, Market East, , 39.9525000, -75.1580556, C, 
TU, Temple University, , 39.9813889, -75.1494444, C, 
NBRD, North Broad, , 39.9922222, -75.1538889, C, 
CY, Cynwyd, , 40.0066667, -75.2316667, 2, 
BALA, Bala, , 40.0011111, -75.2277778, 2, 
WYNF, Wynnefield Avenue, , 39.9900000, -75.2255556, 1, 
UC, University City, , 39.9480556, -75.1902778, C, 
49TH, 49th Street, , 39.9436111, -75.2166667, 1, 
AGRA, Angora, , 39.9447222, -75.2386111, 1, 
FERN, Fernwood-Yeadon, , 39.9397222, -75.2558333, 2, 
LNSD, Lansdowne, , 39.9375000, -75.2708333, 2, 
GLAD, Gladstone, , 39.9327778, -75.2822222, 2, 
CFTN, Clifton-Aldan, , 39.9266667, -75.2902778, 2, 
PRIM, Primos, , 39.9216667, -75.2983333, 2, 
SECA, Secane, , 39.9158333, -75.3097222, 2, 
MORT, Morton-Rutledge, , 39.9077778, -75.3288889, 2, 
SWAR, Swarthmore, , 39.9022222, -75.3508333, 3, 
WALF, Wallingford, , 39.9036111, -75.3719444, 3, 
MOYL, Moylan-Rose Valley, , 39.9061111, -75.3886111, 3, 
ME, Media, , 39.9144444, -75.3950000, 3, 
EL, Elwyn, , 39.9075000, -75.4116667, 3, 
DARB, Darby, , 39.9130556, -75.2544444, 2, 
CRTS, Curtis Park, , 39.9080556, -75.2650000, 2, 
SHAR, Sharon Hill, , 39.9044444, -75.2708333, 2, 
FOLC, Folcroft, , 39.9005556, -75.2797222, 2, 
GLNO, Glenolden, , 39.8963889, -75.2900000, 2, 
NORW, Norwood, , 39.8916667, -75.3016667, 2, 
PROS, Prospect Park - Moore, , 39.8883333, -75.3088889, 2, 
RDLY, Ridley Park, , 39.8805556, -75.3222222, 3, 
CRML, Crum Lynne, , 39.8719444, -75.3311111, 3, 
EDST, Eddystone, , 39.8572222, -75.3422222, 3, 
CHTC, Chester, , 39.8497222, -75.3600000, 3, 
HIAV, Highland Avenue, , 39.8336111, -75.3933333, 4, 
MH, Marcus Hook, , 39.8216667, -75.4194444, 4, 
CLAY, Claymont, , 39.7977778, -75.4522222, 4, 
WG, Wilmington, , 39.7372222, -75.5511111, 4, 
NK, Newark, , 39.6705556, -75.7527778, 5, 
EWCK, Eastwick, , 39.8927778, -75.2438889, 2, 
A, Airport Terminal A, , 39.8761111, -75.2452778, 5, 
AIRB, Airport Terminal B, , 39.8772222, -75.2413889, 5, 
AIRC, Airport Terminal C D, , 39.8780556, -75.2400000, 5, 
AIRE, Airport Terminal E F, , 39.8794444, -75.2397222, 5, 
GS, Glenside, , 40.1013889, -75.1536111, 3, 
CHCR, Churchman's Crossing, , 39.6950000, -75.6725000, 5, 
NESHAMINY, Neshaminy, , 40.1469444, -74.9616667, 4, 
WLGR, Willow Grove, , 40.1438889, -75.1141667, 3, 
GWVL, Gwynedd Valley, , 40.1847222, -75.2569444, 4, 
NPHR8, North Philadelphia R8, , 39.9977778, -75.1563889, C, 
NPHR7, North Philadelphia R7, , 39.9972222, -75.1550000, C, 
TN, Thorndale, , 39.9927778, -75.7636111, 5, 
KI, Jenkintown Wyncote, , 40.0927778, -75.1375000, 3, 
